,topicsAll,topic0,topic1,topic2,topic3,topic4,topic5,model0,method0,method1,method2,method3,method4,method5,method6,method7,id,model1,method8,method9,method10,topic6,topic7,model2,model3,method11,method12,method13,method14,method15,method16,method17,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,method18
0,"Cellular neuroscience, Molecular neuroscience, Clinical neuroscience, Developmental neuroscience",Cellular neuroscience; Neurons(Nerve cells; Neuronal cells),Molecular neuroscience; Genertics; Proteins,"Clinical neuroscience; Neurological disorders (Neurological disorders, Transposable elements, Molecular domestication, Bex/Tceal gene cluster, Autism, Schizophrenia, Neurodevelopmental defects)","Developmental neuroscience; Brain development; Cognitive development (Autism, Intellectual disability, Learning disabilities, Attention deficit hyperactivity disorder (ADHD)); Neurogenesis","Behavioral neuroscience; Neuroethology, Mental Health",,In vivo (Animal model; Transgenic); Mouse (mice),Molecular biology (PCR),"Gene expression; Transcriptomics, Proteomics, Microarrays",Immunohistochemistry,Behavioral tests (behavioral analysis; cognitive tests),,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Clinical neuroscience, Molecular neuroscience","Clinical neuroscience; Neurological disorders (Dopamine deficiency, Neurodegenerative diseases, Psychotic behavior)",Molecular neuroscience; Proteins; Genertics,,,,, In vitro (Culture),Immunohistochemistry,Cell culture,Behavioral tests (behavioral analysis; cognitive tests),Molecular biology (PCR),Molecular biology (Western Blott),Immunofluorescence,In situ hybridization,,18,In vivo (Animal model; Transgenic); Mouse (mice),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Neurophysiology, Treatment","Cognitive neuroscience; Neuroeconomics (Neuromarketing), Cognition",Neurophysiology; Neural mechanisms; Brain; Neural mechanisms; Injury; Brain; Brain; Neural mechanisms; Motor control,video game,,,,In vivo (Animal model; Transgenic); Human participants,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Transcranial Magnetic Stimulation (TMS), Video Game Training, Logistic Regression",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,24,"In humans; Male, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Developmental neuroscience, Cellular neuroscience","Cellular neuroscience; Glia, Neurons","Developmental neuroscience; Axon growth; Brain development; Cognitive development (Learning, Learning disabilities); motor development; steam cells; Neurogenesis",Molecular neuroscience; Genertics; Metabolism,,,,In vivo (Animal model; Transgenic); Zebrafish,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Confocal Microscopy, Two-photon Microscopy, Calcium imaging",Cell culture,Molecular biology (PCR),Immunohistochemistry,In situ hybridization,Behavioral tests (behavioral analysis; cognitive tests),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Clinical neuroscience",Clinical neuroscience; Neurological disorders (Aphasia),"Cognitive neuroscience; Cognition, Memory",,,,,In vivo (Animal model; Transgenic); Non-human primates,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Behavioral tests (behavioral analysis; cognitive tests),,,125,"In humans; Participants with aphasia, NBD controls",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Cognitive neuroscience","Behavioral neuroscience; Neuroethology, Psychology, Affective neuroscience, Affective neuroscientists, Neuropsychological, Neuropsychologists, Social neuroscience","Cognitive neuroscience; Cognition, Consciousness, Neuroeconomics (Neuroeconomists; Neuromarketing), Reaction time, Memory, Cognitive reserve",,,,,In vivo (Animal model; Transgenic); Human participants were used in this scientific study.,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Gene Edition,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); SSS test, MEG, DW-MRI",,,,,,131,In humans; Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Neurons, Glia","Clinical neuroscience; Neurological disorders (Axon regeneration, Spinal cord injury, Neuronal plasticity, Histone acetylation)","Developmental neuroscience; Axon growth; Brain development; Cognitive development (Learning, Learning disabilities); motor development; Neurogenesis",Molecular neuroscience; Metabolism; Proteins; Genertics,Neurophysiology; Spinal Chord; Injury; Motor control; Myelination; Neural mechanisms; Neural Pathways; Neuroplasticity,"Treatment (Therapy) (Rehabilitation, Neurosurgery)","In vivo (Animal model; Transgenic); Mouse (mice), Rat",Histology,Cell culture,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Social neuroscience, Mental Health",Clinical neuroscience; Neural prosthetics (Neuroprosthetics),"Developmental neuroscience; Cognitive development (Surrogacy, Gay parenting)",,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Stress, Anxiety disorder, Depression, Cognitive neuroscience","Behavioral neuroscience; Neuroethology, Mental Health","Developmental neuroscience; Brain development; Cognitive development (Learning, Attention deficit hyperactivity disorder (ADHD)); motor development",,,,,In vivo (Animal model; Transgenic); Rat,Cell culture,Stereotactics,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Molecular neuroscience, Alzheimer's disease","Clinical neuroscience; Neurological disorders (Alzheimer disease, Amyloid, Glycosylation)",Molecular neuroscience; Proteins; Genertics,,,,, In vitro (Culture),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Western blotting, qRT-PCR analysis, Lectin binding assays",Molecular biology (Western Blott),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Western blotting, qRT-PCR analysis, Lectin binding assays",,,,,26,"In humans; Human (AD patients and non-demented controls), CHO-PS70 cells (over-expressing wild-type human APP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Neurophysiology","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",Clinical neuroscience; Brain stimulation; Neural prosthetics (Neuroprosthetics),"Developmental neuroscience; Brain development; Cognitive development (Learning, Learning disabilities)",environment,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience",Nervous System Tumour (Tumor; cancer) (Metastasis),Molecular neuroscience; Autopahgy; Genertics,"Clinical neuroscience; Neurological disorders (Brain metastasis, Cancer research)",,,, In vitro (Culture),Cell culture,Molecular biology (PCR), Bioinformatics,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); In this scientific paper, the following research methods have been used:

1. In vivo selection: This method involves the selection of cell lines that are preferentially metastatic to the central nervous system (CNS) through in vivo experiments.

2. Intracranial injection: This method involves the local inoculation of tumor cells directly into the brain to study large tumors and their growth within the appropriate microenvironment.

3. Systemic inoculation: This method involves the injection of tumor cells into the systemic circulation, such as intracardiac or intracarotid injection, to study the entire process of organ colonization and metastasis.

4. Orthotopic inoculation: This method involves the inoculation of tumor cells into the appropriate organ site, such as intradermal or subcutaneous injection for melanoma or mammary fat pad injection for breast cancer, to study the growth of the original tumor and systemic dissemination of cancer cells.

5. Patient-derived xenografts (PDX): This method involves the implantation of patient tumor tissue or cells into humanized or immunodeficient mice to study an avatar of the patient's tumor and its complexity.

6. Preclinical therapeutic approaches: This method involves the evaluation of therapeutic strategies in BrM mouse models, including local and systemic treatment strategies, monoclonal antibodies, stem cells, and drug screening platforms.

7. Transcriptomic analysis: This method involves the analysis of gene expression patterns in different tumor cell lines to identify commonalities and differences between various tumor entities.

Overall, a combination of in vivo experiments, injection methods, and molecular analysis techniques have been used in this study to investigate brain metastasis and develop preclinical models for therapeutic research.",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); In this scientific paper, the following research methods have been used:

1. In vivo selection: This method involves the selection of cell lines that are preferentially metastatic to the central nervous system (CNS) through in vivo experiments.

2. Intracranial injection: This method involves the local inoculation of tumor cells directly into the brain to study large tumors and their growth within the appropriate microenvironment.

3. Systemic inoculation: This method involves the injection of tumor cells into the systemic circulation, such as intracardiac or intracarotid injection, to study the entire process of organ colonization and metastasis.

4. Orthotopic inoculation: This method involves the inoculation of tumor cells into the orthotopic site, such as the mammary fat pad for breast cancer or intradermal/subcutaneous for melanoma, to study the growth of the original tumor and systemic dissemination of cancer cells.

5. Patient-derived xenografts (PDX) models: This method involves the implantation of tissue or cells from a patient's tumor into humanized or immunodeficient mice to study an avatar of the patient's tumor and its complexity.

6. Preclinical therapeutic approaches: This method involves the evaluation of therapeutic strategies, such as local and systemic treatment strategies, monoclonal antibodies, stem cells, and inhibitors of the metastatic cascade, in BrM mouse models.

7. Calcium imaging: This method involves the use of calcium-sensitive dyes to visualize and measure changes in intracellular calcium levels, which can provide insights into neuronal activity and brain function.

8. Magnetic resonance imaging (MRI): This method involves the use of magnetic fields and radio waves to create detailed images of the brain and its structures, which can be used for diagnostic and research purposes.

9. Brain activity maps (Human brain mapping; Mapping brain activity): This method involves the mapping and visualization of brain activity using various techniques, such as functional MRI (fMRI) or electroencephalography (EEG), to understand the functional organization of the brain.

10. Connectomics (Connectomes): This method involves the mapping and analysis of the connections between neurons in the brain, known as the connectome, to understand the neural circuits and networks underlying brain function.

11. 3D visualization: This method involves the creation of three-dimensional visual representations of brain structures and activity, which can aid in the understanding and analysis of complex brain processes.

12. Electron microscopy: This method involves the use of electron beams to visualize and study the ultrastructure of cells and tissues, including the brain, at high resolution.

13. Confocal microscopy: This method involves the use of laser scanning and fluorescence to visualize and study specific structures or molecules in the brain with high resolution and optical sectioning.

14. Two-photon microscopy: This method involves the use of two-photon excitation to visualize and study deep structures in the brain with high resolution and minimal photodamage.

15. X-Ray: This method involves the use of X-rays to create images of the brain and its structures, which can be used for diagnostic and research purposes.

16. Positron Emission Tomography (PET): This method involves the use of radioactive tracers to visualize and measure metabolic and physiological processes in the brain, which can provide insights into brain function and disease.

17. Single Photon Emission Tomographic bioimaging (SPECT): This method involves the use of radioactive tracers to visualize and measure blood flow and brain activity, which can provide insights into brain function and disease.

18. Magnetoencephalography (MEG): This method involves the measurement of magnetic fields generated by neuronal activity in the brain, which can provide insights into brain function and connectivity.

19. Multiphoton Brain Imaging: This method involves the use of multiphoton excitation to visualize and study brain structures and activity with high resolution and minimal photodamage.",Gene expression; Microarrays,Xenografts,33,"In vivo (Animal model; Transgenic); Mouse (mice), Rat",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Addiction, Neuroimaging","Clinical neuroscience; Brain stimulation; Neurological disorders (Reward circuit, Cocaine addiction, Prefrontal function, Striatal connectivity, Monetary incentives)","Cognitive neuroscience; Neuroeconomics, Cognition",,,,,In vivo (Animal model; Transgenic); Human,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Confocal Microscopy, Magnetic resonance imaging (MRI), Voxel-Based Morphometry","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Confocal Microscopy, Magnetic resonance imaging (MRI), Voxel-Based Morphometry",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,27,In humans; Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Clinical neuroscience, Developmental neuroscience","Developmental neuroscience; Brain development; Cognitive development (Learning disabilities, Cognitive impairment); motor development","Cognitive neuroscience; Cognition, Memory",,,,,In vivo (Animal model; Transgenic); C57BL/6 Mice,Stereotactics,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Psychology, Mental Health, School
2. Cellular neuroscience
3. Clinical neuroscience, Neurology, Neurological disorders, Neurological diseases
4. Cognitive neuroscience
5. Developmental neuroscience, Autism, Learning disabilities
6. Aging
7. Molecular neuroscience
8. Neurophysiology, Motor control
12. Diagnose","Behavioral neuroscience; Psychology, Mental Health","Developmental neuroscience; Cognitive development (Bullying, Aggression)","Clinical neuroscience; Neurological disorders (Bullying, Aggression)",school,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Clinical neuroscience; Neurological disorders (Down syndrome, Intellectual disability, Endocannabinoid system)",Molecular neuroscience; Genertics; Apoptosis,,,,,In vivo (Animal model; Transgenic); Mouse (mice),Immunohistochemistry,Molecular biology (PCR),Stereotactics,Behavioral tests (behavioral analysis; cognitive tests),Molecular biology (Western Blott),"Gene expression; Transcriptomics, Proteomics",Gene Edition,Immunofluorescence,141,,Cell culture,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Neurological disorders (Parkinsons disease, α-synuclein, protein aggregation, aggregation inhibition, dopaminergic degeneration); Brain stimulation",Molecular neuroscience; Proteins; Genertics,"Treatment (Therapy) (Steam cells, Neurosurgery)",,, In vitro (Culture),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Cell culture,Immunohistochemistry,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, Transmission Electron Microscopy (TEM)","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, Transmission Electron Microscopy (TEM)",Immunofluorescence,Cell culture,Behavioral tests (behavioral analysis; cognitive tests),155,In vivo (Animal model; Transgenic); C. elegans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Autism, Video-game","Clinical neuroscience; Neurological disorders (Autism Spectrum Disorders, Game-based interventions, Technology, Social initiation conducts)","Cognitive neuroscience; Neuroeconomics (Neuromarketing), Cognition",Developmental neuroscience; Cognitive development (Autism (Autism spectrum disorder)); motor development,video game,,,In vivo (Animal model; Transgenic); The experimental model used in this scientific study is children with Autism Spectrum Disorders (ASD).,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,83,In humans; Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Molecular neuroscience","Clinical neuroscience; Neurological disorders (Alzheimer disease, Amyloid)",Molecular neuroscience; Proteins; Genertics,model,,,,In vivo (Animal model; Transgenic); Mouse (mice),Immunohistochemistry,Molecular biology (Western Blott),In situ hybridization,"Gene expression; Microarrays, Transcriptomics, Proteomics",Behavioral tests (behavioral analysis; cognitive tests),,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Molecular neuroscience","Clinical neuroscience; Neurological disorders (Alzheimer disease, Amyloid)",Molecular neuroscience; Proteins; Genertics,,,,, In vitro (Culture),Behavioral tests (behavioral analysis; cognitive tests),Immunohistochemistry,Behavioral tests (behavioral analysis; cognitive tests),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); GdnHSCN-SEC-WB analysis, Bottom-up MS proteomic identification, Immunoprecipitation, Enzymatic digestion, LC-MS/MS analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); GdnHSCN-SEC-WB analysis, Bottom-up MS proteomic identification, Immunoprecipitation, Enzymatic digestion, LC-MS/MS analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); GdnHSCN-SEC-WB analysis, Bottom-up MS proteomic identification, Immunoprecipitation, Enzymatic digestion, LC-MS/MS analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); GdnHSCN-SEC-WB analysis, Bottom-up MS proteomic identification, Immunoprecipitation, Enzymatic digestion, LC-MS/MS analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); GdnHSCN-SEC-WB analysis, Bottom-up MS proteomic identification, Immunoprecipitation, Enzymatic digestion, LC-MS/MS analysis",169,In vivo (Animal model; Transgenic); Non-human primates,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); GdnHSCN-SEC-WB analysis, Bottom-up MS proteomic identification, Immunoprecipitation, Enzymatic digestion, LC-MS/MS analysis",,,,,In humans; Human Brain Samples (AD patients),,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Nervous System Tumor","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Neurological disorders (Glioblastoma, Tumor initiation and progression, Telomere protein, Cancer research)",Molecular neuroscience; Proteins,Nervous System Tumour (Tumor; cancer) (Glioblastoma),,,In vivo (Animal model; Transgenic); Mouse (mice),Immunofluorescence,Molecular biology (Western Blott),Molecular biology (PCR),Cell culture,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Confocal Microscopy, Immunofluorescence, PCR, qRT-PCR, Western blot","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Confocal Microscopy, Immunofluorescence, PCR, qRT-PCR, Telomere Q-FISH analysis",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,182,,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",model,"Clinical neuroscience; Brain stimulation; Neurological disorders (Amyloid, Neurodegenerative diseases, Dementia)",,,, In vitro (Culture),Immunohistochemistry,Immunofluorescence,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, Immunofluorescence Techniques","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, Immunofluorescence Techniques",,,,,68,In vivo (Animal model; Transgenic); The experimental model used in this scientific study is not explicitly mentioned in the provided text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience, Treatment","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Brain stimulation; Neural prosthetics (Neuroprosthetics); Neurological disorders (Blood-brain barrier, Drug delivery)",Molecular neuroscience; Autopahgy; Genertics,"Treatment (Therapy) (Pharmacology, Transplantation)",,,In vivo (Animal model; Transgenic); Mouse (mice),Molecular biology (PCR),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Confocal Microscopy, Fluorescence imaging analysis, Histological analysis",,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience",Molecular neuroscience; Proteins; Genertics,"Treatment (Therapy) (Neurology, Pharmacology)",,,,, In vitro (Culture),Molecular biology (PCR),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Docking Calculations, Molecular Dynamics Simulation, Molecular Dynamics Analysis, ADMET Prediction, In Vitro Analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Docking Calculations, Molecular Dynamics Simulation, Molecular Dynamics Analysis, ADMET Prediction, In Vitro Analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Docking Calculations, Molecular Dynamics Simulation, Molecular Dynamics Analysis, ADMET Prediction, In Vitro Analysis",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Neurology, Neurological disorders, Neurodegenerative diseases, Neurophysiology","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",Molecular neuroscience; Metabolism; Genertics,Neurophysiology; Neural mechanisms; Neural mechanisms; Injury; Neural mechanisms; Neural mechanisms; Motor control; Injury; Neural mechanisms; Motor control; Neural mechanisms; Motor control; Neural mechanisms; Peripehral nervous system; Neural mechanisms; Neural mechanisms; Neural mechanisms; Injury; Injury; Sensory systems; Motor control; Injury; Neural mechanisms; Neural mechanisms; Injury; Injury; Neural mechanisms; Neural mechanisms; Neural mechanisms; Injury; Motor control,Developmental neuroscience; Axon growth; Brain development; Cognitive development (Learning disabilities); motor development; steam cells; Neurogenesis,,,In vivo (Animal model; Transgenic); C. elegans,Immunohistochemistry,Molecular biology (Western Blott),Molecular biology (PCR),Cell culture,Behavioral tests (behavioral analysis; cognitive tests),Immunofluorescence,"Gene expression; Transcriptomics, Proteomics, Microarrays",Gene Edition,54,,Xenografts,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Artificial intelligence","Cognitive neuroscience; Cognition, Consciousness",artificial intelligence,,,,,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); CNNs, physiological-like strategy, psychophysical-like strategy",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); CNNs, physiological-like strategy, psychophysical-like strategy",Behavioral tests (behavioral analysis; cognitive tests),,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Neurophysiology",Cellular neuroscience; Neurons(Nerve cells; Neuronal cells),"Developmental neuroscience; Axon growth; Brain development; Cognitive development (Learning, Learning disabilities); motor development; steam cells; Neurogenesis",Molecular neuroscience; Genertics; Autopahgy; Autopahgy; Genertics,,,, In vitro (Culture),Cell culture,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Confocal Microscopy, Two-photon Microscopy, Calcium imaging",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Rare disease","Clinical neuroscience; Neurological disorders (Rare disease, Biomedical ontology)",Molecular neuroscience; Genertics,patient,,,,None, Bioinformatics,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); MIREOT methodology, sentiment analysis library (Textblob)",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Developmental neuroscience, Cognitive neuroscience","Cognitive neuroscience; Cognition, Memory","Developmental neuroscience; Cognitive development (Dyslexia, Learning disabilities, Machine learning); Brain development",artificial intelligence,,,,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Clinical neuroscience; Brain stimulation; Neurological disorders (Brain ischemia (Cerebral ischemia), Neurodegenerative diseases (Neurodegeneration; Neurodegenerative disorders))","Nervous System Tumour (Tumor; cancer) (Glioblastoma, Vascular habitats)",Molecular neuroscience; Genertics,,,,In vivo (Animal model; Transgenic); Human patients,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic resonance imaging (MRI), Hemodynamic tissue signature (HTS) method",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,69,In humans; Human (Adult),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Neurophysiology","Cognitive neuroscience; Cognition, Neuroeconomics (Neuroeconomists; Neuromarketing), Consciousness",Neuroimmunity (Neuroinflammation),,,,,In vivo (Animal model; Transgenic); Human participants were used in this scientific study.,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); fMRI,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); fMRI,Behavioral tests (behavioral analysis; cognitive tests),,,,,,197,In humans; fMRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience, Treatment","Clinical neuroscience; Neurological disorders (Neuropathic pain, Cannabinoids, Nanoparticles)",Molecular neuroscience; Metabolism; Proteins,Treatment (Therapy) (Pharmacology),,,,In vivo (Animal model; Transgenic); Rat,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, X-Ray",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Electron Microscopy, Confocal Microscopy, X-Ray",,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
